Name,FIPS,"# Total Population [B01003] | Total population, 2017","% Sex Of Workers By Means Of Transportation To Work [B08006] | Workers 16 years and over | Car, truck, or van, 2017","% Sex Of Workers By Means Of Transportation To Work [B08006] | Workers 16 years and over | Car, truck, or van | Carpooled, 2017","% Sex Of Workers By Means Of Transportation To Work [B08006] | Workers 16 years and over | Bicycle, 2017","% Sex Of Workers By Means Of Transportation To Work [B08006] | Workers 16 years and over | Walked, 2017","% Sex Of Workers By Means Of Transportation To Work [B08006] | Workers 16 years and over | Taxicab, motorcycle, or other means, 2017","% Sex Of Workers By Means Of Transportation To Work [B08006] | Workers 16 years and over | Worked at home, 2017"
"11234, Brooklyn, NY",11234,97741,49.2783,7.9008,0.3384,3.8282,0.6164,2.7569
"11235, Brooklyn, NY",11235,80222,34.6612,6.5313,0.4337,9.5155,1.0455,4.9229
"11236, Brooklyn, NY",11236,100633,39.5896,4.973,0.2234,3.2333,0.7861,1.9094
"11237, Brooklyn, NY",11237,52319,12.2363,2.0946,3.1327,8.7318,1.086,3.5818
"11238, Brooklyn, NY",11238,55398,9.651,1.6356,3.8486,6.948,1.5138,6.2551
"11239, Brooklyn, NY",11239,12713,29.7557,1.4387,0.3197,6.6454,0.4567,0
"11351, Flushing, NY",11351,0,0,0,0,0,0,0
"11354, Flushing, NY",11354,57566,40.8602,14.888,0.3815,15.5471,0.898,1.6881
"11355, Flushing, NY",11355,82890,39.6666,16.7127,0.4524,14.5849,0.4635,1.5219
"11356, College Point, NY",11356,24069,58.4382,14.4955,0.3193,6.632,0.3284,3.1107
"11357, Whitestone, NY",11357,41393,70.0162,10.2209,0,1.4386,0.4418,2.1228
"11358, Flushing, NY",11358,36959,53.0875,11.1574,0.1484,3.5841,1.4325,2.591
"11359, Bayside, NY",11359,0,0,0,0,0,0,0
"11360, Bayside, NY",11360,19501,64.2833,8.0989,0.1017,1.6943,0.5648,5.3993
"11361, Bayside, NY",11361,29072,61.2215,10.4141,0.0414,3.8578,0.7591,2.4086
"11362, Little Neck, NY",11362,18443,64.389,8.41,0.2987,2.437,1.2304,5.9252
"11363, Little Neck, NY",11363,7423,55.2707,8.8422,0.2304,3.1394,1.2673,3.485
"11364, Oakland Gardens, NY",11364,35885,60.248,10.419,0,1.5878,0.4056,3.2914
"11365, Fresh Meadows, NY",11365,45565,56.7427,10.0097,0.2087,3.1019,0.5243,2.1117
"11366, Fresh Meadows, NY",11366,14308,51.9351,9.4909,0.1124,4.3038,0.5942,3.8863
"11367, Flushing, NY",11367,43496,48.7364,8.9642,0,7.2831,1.1768,2.1584
"11368, Corona, NY",11368,114647,21.3251,5.4392,0.7433,10.2262,1.2452,1.2662
"11369, East Elmhurst, NY",11369,37325,32.6822,9.2588,1.4384,6.0427,1.5704,2.1608
"11370, East Elmhurst, NY",11370,33789,38.9064,6.6512,0.8521,3.7392,0.9927,2.4818
"11371, Flushing, NY",11371,0,0,0,0,0,0,0
"11372, Jackson Heights, NY",11372,64298,21.0017,5.0516,1.0525,8.2948,0.4008,1.744
"11373, Elmhurst, NY",11373,96353,18.4104,5.3858,0.8325,7.6882,1.2102,1.6415
"11374, Rego Park, NY",11374,43540,26.4639,4.6157,0.274,9.2872,0.7987,4.0957
"11375, Forest Hills, NY",11375,72937,27.5665,5.4533,0.1128,5.3791,0.748,4.2241
"11377, Woodside, NY",11377,89688,24.111,5.1328,0.58,5.1524,0.9601,1.9984
