Name,FIPS,"Median Household Income, 2017","# Total Population [B01003] | Total population, 2017","# Sex By Age [B01001] | Total population | Under 5 years, 2017","# Sex By Age [B01001] | Total population | 5 to 9 years, 2017","# Sex By Age [B01001] | Total population | 10 to 14 years, 2017","# Sex By Age [B01001] | Total population | 15 to 17 years, 2017","# Sex By Age [B01001] | Total population | 18 and 19 years, 2017","# Sex By Age [B01001] | Total population | 20 years, 2017","# Sex By Age [B01001] | Total population | 21 years, 2017","# Sex By Age [B01001] | Total population | 22 to 24 years, 2017","# Sex By Age [B01001] | Total population | 25 to 29 years, 2017","# Sex By Age [B01001] | Total population | 30 to 34 years, 2017","# Sex By Age [B01001] | Total population | 35 to 39 years, 2017","# Sex By Age [B01001] | Total population | 40 to 44 years, 2017","# Sex By Age [B01001] | Total population | 45 to 49 years, 2017","# Sex By Age [B01001] | Total population | 50 to 54 years, 2017","# Sex By Age [B01001] | Total population | 55 to 59 years, 2017","# Sex By Age [B01001] | Total population | 60 and 61 years, 2017","# Sex By Age [B01001] | Total population | 62 to 64 years, 2017","# Sex By Age [B01001] | Total population | 65 and 66 years, 2017","# Sex By Age [B01001] | Total population | 67 to 69 years, 2017","# Sex By Age [B01001] | Total population | 70 to 74 years, 2017","# Sex By Age [B01001] | Total population | 75 to 79 years, 2017","# Sex By Age [B01001] | Total population | 80 to 84 years, 2017","# Sex By Age [B01001] | Total population | 85 years and over, 2017","% Population in Poverty, Total, 2020","% Population in Poverty, Total, 2017","% Population in Poverty, Total, 2010"
"11233, Brooklyn, NY",11233,46909,74982,5765,4940,4632,3244,1633,1175,1244,4008,6732,5985,4940,4871,4882,5225,3920,1521,2053,1169,1591,2033,1624,936,859,27.752,30.194,28.4581
"11234, Brooklyn, NY",11234,88098,97741,5534,6072,6490,3908,2091,1270,878,3684,6186,6348,5660,6279,6526,7044,7251,2593,4254,2590,2762,3598,2657,1861,2205,9.0109,10.0749,9.3581
"11235, Brooklyn, NY",11235,55977,80222,4635,4067,3918,2112,1329,665,704,2368,4985,5602,5227,5209,4861,5540,5474,1949,3302,2216,3186,3140,3793,2676,3264,18.6955,20.6913,19.3944
"11236, Brooklyn, NY",11236,80537,100633,6094,5414,6468,3966,2670,1465,1693,4783,7764,6545,5729,6821,6738,7576,7369,2814,3780,2265,2444,3244,1972,1465,1554,13.1852,14.7308,13.7718
"11237, Brooklyn, NY",11237,42022,52319,2972,2826,3475,1856,1185,707,1027,4361,7269,6237,4262,3458,2971,2582,2245,823,761,508,584,932,630,298,350,31.952,34.703,32.7993
"11238, Brooklyn, NY",11238,81449,55398,3424,2067,2037,1010,438,396,391,2440,6853,7842,5271,4225,3332,2834,2959,1256,1728,1228,1408,1602,813,973,871,14.9144,16.4476,15.4372
"11239, Brooklyn, NY",11239,35518,12713,488,728,691,346,186,359,129,421,601,545,757,613,750,884,775,311,588,521,412,831,718,498,561,27.9835,30.529,29.2146
"11351, Flushing, NY",11351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11354, Flushing, NY",11354,61248,57566,2819,2469,2385,1214,764,607,412,2365,4299,4596,3569,3961,4172,5251,4641,1449,2026,1274,1751,2193,1872,1448,2029,20.7008,18.6339,16.2551
"11355, Flushing, NY",11355,55940,82890,4601,3874,3186,2184,1259,891,780,3422,6743,5748,6050,5325,6731,7038,5773,2306,3144,1705,2190,3097,2594,2090,2159,24.2715,21.9306,18.8328
"11356, College Point, NY",11356,71264,24069,1697,1297,1425,828,438,385,215,931,1743,2065,1510,1620,1827,1668,1611,769,942,540,359,703,697,473,326,11.5184,10.5261,8.9889
"11357, Whitestone, NY",11357,95239,41393,2482,1963,2451,1392,768,417,502,1195,1963,2616,2373,2646,2898,3193,2934,1289,1575,1077,1438,2078,1624,1214,1305,6.7475,5.9973,4.996
"11358, Flushing, NY",11358,85246,36959,1729,1547,1754,1177,566,390,480,1192,3087,2457,2297,2666,2482,3023,2912,985,1416,968,1221,1597,1306,909,798,11.4032,10.2684,8.9312
