GROUP,boro,count,rate,date,day
45-64,3,8361,2178.19,2020-06-06,20
65-74,3,3468,2369.81,2020-06-06,20
75+,3,4160,3394.23,2020-06-06,20
0-17,4,1458,320.45,2020-06-06,20
18-44,4,22940,2677.53,2020-06-06,20
45-64,4,23653,3879.84,2020-06-06,20
65-74,4,7255,3609.65,2020-06-06,20
75+,4,6733,4301.47,2020-06-06,20
0-17,5,401,387.74,2020-06-06,20
18-44,5,5348,3254.75,2020-06-06,20
45-64,5,5203,3959.88,2020-06-06,20
65-74,5,1362,3000.99,2020-06-06,20
75+,5,1236,3902.99,2020-06-06,20
0-17,1,1719,294.79,2020-06-07,21
18-44,1,20277,1932.03,2020-06-07,21
45-64,1,19486,3297.43,2020-06-07,21
65-74,1,7814,3823.1,2020-06-07,21
75+,1,6990,4513.84,2020-06-07,21
0-17,2,1606,455.13,2020-06-07,21
18-44,2,17079,3073.59,2020-06-07,21
45-64,2,17184,5050.82,2020-06-07,21
65-74,2,5260,5156.16,2020-06-07,21
75+,2,4746,5833.26,2020-06-07,21
0-17,3,432,185.79,2020-06-07,21
18-44,3,8969,1206.44,2020-06-07,21
45-64,3,8373,2181.32,2020-06-07,21
65-74,3,3471,2371.86,2020-06-07,21
75+,3,4168,3400.76,2020-06-07,21
0-17,4,1459,320.67,2020-06-07,21
18-44,4,22978,2681.97,2020-06-07,21
45-64,4,23684,3884.93,2020-06-07,21
65-74,4,7268,3616.12,2020-06-07,21
75+,4,6747,4310.41,2020-06-07,21
0-17,5,402,388.71,2020-06-07,21
18-44,5,5353,3257.79,2020-06-07,21
45-64,5,5206,3962.16,2020-06-07,21
65-74,5,1364,3005.4,2020-06-07,21
75+,5,1240,3915.62,2020-06-07,21
0-17,1,1723,295.48,2020-06-08,22
18-44,1,20313,1935.46,2020-06-08,22
45-64,1,19531,3305.05,2020-06-08,22
65-74,1,7834,3832.89,2020-06-08,22
75+,1,7024,4535.8,2020-06-08,22
0-17,2,1610,456.26,2020-06-08,22
18-44,2,17113,3079.71,2020-06-08,22
45-64,2,17210,5058.46,2020-06-08,22
65-74,2,5266,5162.04,2020-06-08,22
75+,2,4751,5839.41,2020-06-08,22
0-17,3,434,186.65,2020-06-08,22
18-44,3,8993,1209.67,2020-06-08,22
45-64,3,8396,2187.31,2020-06-08,22
65-74,3,3473,2373.22,2020-06-08,22
75+,3,4173,3404.84,2020-06-08,22
0-17,4,1466,322.2,2020-06-08,22
18-44,4,23031,2688.15,2020-06-08,22
45-64,4,23743,3894.61,2020-06-08,22
65-74,4,7283,3623.58,2020-06-08,22
75+,4,6757,4316.8,2020-06-08,22
0-17,5,402,388.71,2020-06-08,22
18-44,5,5359,3261.44,2020-06-08,22
45-64,5,5213,3967.49,2020-06-08,22
65-74,5,1365,3007.6,2020-06-08,22
75+,5,1243,3925.1,2020-06-08,22
0-17,1,1727,296.16,2020-06-09,23
18-44,1,20349,1938.89,2020-06-09,23
45-64,1,19562,3310.29,2020-06-09,23
65-74,1,7849,3840.23,2020-06-09,23
75+,1,7041,4546.78,2020-06-09,23
0-17,2,1612,456.83,2020-06-09,23
18-44,2,17137,3084.03,2020-06-09,23
45-64,2,17232,5064.93,2020-06-09,23
65-74,2,5275,5170.86,2020-06-09,23
75+,2,4761,5851.7,2020-06-09,23
0-17,3,438,188.37,2020-06-09,23
18-44,3,9009,1211.82,2020-06-09,23
45-64,3,8408,2190.44,2020-06-09,23
65-74,3,3473,2373.22,2020-06-09,23
75+,3,4175,3406.47,2020-06-09,23
0-17,4,1468,322.64,2020-06-09,23
18-44,4,23068,2692.47,2020-06-09,23
45-64,4,23782,3901,2020-06-09,23
65-74,4,7295,3629.55,2020-06-09,23
75+,4,6767,4323.19,2020-06-09,23
0-17,5,404,390.64,2020-06-09,23
18-44,5,5366,3265.7,2020-06-09,23
45-64,5,5219,3972.05,2020-06-09,23
65-74,5,1367,3012.01,2020-06-09,23
75+,5,1246,3934.57,2020-06-09,23
0-17,1,1730,296.68,2020-06-10,24
18-44,1,20399,1943.65,2020-06-10,24
45-64,1,19596,3316.04,2020-06-10,24
65-74,1,7869,3850.01,2020-06-10,24
75+,1,7061,4559.69,2020-06-10,24
0-17,2,1616,457.97,2020-06-10,24
18-44,2,17166,3089.25,2020-06-10,24
45-64,2,17268,5075.51,2020-06-10,24
65-74,2,5289,5184.58,2020-06-10,24
75+,2,4780,5875.05,2020-06-10,24
0-17,3,439,188.8,2020-06-10,24
18-44,3,9035,1215.32,2020-06-10,24
45-64,3,8433,2196.95,2020-06-10,24
65-74,3,3483,2380.06,2020-06-10,24
75+,3,4180,3410.55,2020-06-10,24
0-17,4,1476,324.4,2020-06-10,24
18-44,4,23117,2698.19,2020-06-10,24
45-64,4,23819,3907.07,2020-06-10,24
65-74,4,7311,3637.51,2020-06-10,24
75+,4,6779,4330.85,2020-06-10,24
0-17,5,405,391.61,2020-06-10,24
18-44,5,5372,3269.35,2020-06-10,24
45-64,5,5223,3975.1,2020-06-10,24
65-74,5,1369,3016.42,2020-06-10,24
75+,5,1249,3944.04,2020-06-10,24
0-17,1,1736,297.71,2020-06-11,25
18-44,1,20433,1946.89,2020-06-11,25
45-64,1,19634,3322.48,2020-06-11,25
65-74,1,7883,3856.86,2020-06-11,25
75+,1,7068,4564.21,2020-06-11,25
0-17,2,1625,460.52,2020-06-11,25
18-44,2,17194,3094.28,2020-06-11,25
45-64,2,17298,5084.33,2020-06-11,25
65-74,2,5298,5193.4,2020-06-11,25
75+,2,4791,5888.57,2020-06-11,25
0-17,3,441,189.66,2020-06-11,25
18-44,3,9061,1218.82,2020-06-11,25
45-64,3,8457,2203.2,2020-06-11,25
65-74,3,3490,2384.84,2020-06-11,25
75+,3,4191,3419.52,2020-06-11,25
0-17,4,1482,325.72,2020-06-11,25
18-44,4,23161,2703.33,2020-06-11,25
45-64,4,23864,3914.45,2020-06-11,25
